doc_id,route,agent1_model,agent1_chemical,agent1_physical,agent1_biological,agent1_methodology,agent1_frame,agent1_n_items,agent1_raw,agent1_time_s,agent1_parse_error,agent1_error,kw_top_pbs,kw_top_score,agent3_model,llm_primary_pb,llm_primary_conf,llm_secondary_pbs,llm_rejected_pbs,llm_reasoning,agent3_time_s,agent3_error,total_time_s,kw_top1,kw_top1_score,critic_decision,critic_confidence,critic_reasoning,critic_target_pb,critic_candidates,critic_time_s,final_primary_pb
ab2d096a1aaf,llm_judged,qwen2.5:3b,nitrate,,,measured,earth_sciences,1,"{
  ""chemical_species"": [""nitrate""],
  ""physical_metrics"": [],
  ""biological_observations"": [""phytoplankton"", ""diatom""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",13.043,,,,0,qwen2.5:14b,PB4,High,PB7,"PB1, PB2, PB5, PB6, PB8, PB9","The research measures the microbial and biogeochemical responses to projected future nitrate enrichment in the California upwelling system. The primary focus is on nutrient-driven changes, specifically nitrate enrichment, which directly relates to PB4 (Biogeochemical Flows). Although the abstract mentions broader ecological impacts, the core analysis centers on nitrogen cycle disruption and eutrophication, reinforcing the selection of PB4 as the primary boundary. Weak signals aligned with this interpretation by identifying 'nitrate' as a chemical species.",16.639,,29.684,None,0,,,,,,,PB4
84915f5956b8,llm_judged,qwen2.5:3b,WO3; CO2,,,measured,engineering,2,"{
  ""chemical_species"": [""WO3"", ""CO2""],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""engineering""
}",9.905,,,PB1(3); PB2(3),3,qwen2.5:14b,PB2,High,None,PB1,"The research focuses on the development and testing of a new potentiometric pH sensor with enhanced sensitivity, specifically for monitoring ocean environments. The abstract mentions CO2-induced ocean acidification as a motivation but does not quantify or model any climate variables directly related to PB1. Therefore, the primary focus is on measuring pH levels in seawater, which aligns closely with PB2's core definition of ocean acidification due to explicit mention and relevance of pH changes in marine environments.",14.618,,24.526,PB1,3,,,,,,,PB2
a31195146871,llm_judged,qwen2.5:3b,,oxygen consumption; nutrient regeneration rates; fluxes,Catostylus mosaicus decomposition,measured,biology,4,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""oxygen consumption"", ""nutrient regeneration rates"", ""fluxes""],
  ""biological_observations"": [""Catostylus mosaicus decomposition""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",9.512,,,PB1(3),3,qwen2.5:14b,PB4,High,PB2,PB1,"The study measures oxygen consumption and nutrient regeneration rates during the decomposition of jellyfish under current and projected future ocean conditions. The primary focus is on how changing pH and temperature affect these biogeochemical processes, aligning with PB4's core definition of disrupting nitrogen and phosphorus cycles due to human activity. Weak signals suggested a potential climate change angle (PB1), but since the study quantifies decomposition rates rather than climate variables directly, PB4 remains primary.",15.804,,25.317,PB1,3,,,,,,,PB4
0866b31f11c4,llm_judged,qwen2.5:3b,,,,mentioned,other,0,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""literature""
}",3.677,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the literary mode of weird fiction and its relevance to contemporary ecological anxieties, particularly in relation to climate crisis. However, it does not measure or model any biophysical variables related to Planetary Boundaries. The mention of 'climate crisis' is purely motivational and contextual without any quantification or modeling of a climate variable. Weak signals did not identify any relevant keywords for the PB framework.",58.459,,62.138,None,0,,,,,,,None
9480a86811a3,llm_judged,qwen2.5:3b,,reef; village; qoliqoli; fishery,"species; understanding of reef dynamics; support and expectations for a proposed conservation program; Lethrinus harak (Forsska˚l, 1775; Lethrinidae)",measured,biology,8,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""reef"", ""village"", ""qoliqoli"", ""fishery""],
  ""biological_observations"": [""species"", ""understanding of reef dynamics"", ""support and expectations for a proposed conservation program"", ""Lethrinus harak (Forsska˚l, 1775; Lethrinidae)""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",11.249,,,,0,qwen2.5:14b,PB7,High,None,"PB1, PB4, PB5, PB6, PB8, PB9","The research measures the status of Nagigi village's fishery and evaluates local support for a proposed marine protected area based on traditional reef management practices. The primary focus is on biodiversity conservation and community-based ecological management, which aligns with PB7 (Biosphere Integrity). Weak signals correctly highlighted biological observations but did not identify any specific biophysical measurements related to other PBs.",8.553,,19.807,None,0,,,,,,,PB7
66c76ad14a95,llm_judged,qwen2.5:3b,,,aquatic species; climate change,measured,earth_sciences,2,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [""aquatic species"", ""climate change""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",2.086,,,PB1(3),3,qwen2.5:14b,PB1,High,PB7,"PB2, PB4, PB5, PB6, PB8, PB9","The abstract discusses research on climate change impacts associated with major aquatic species production. The operational object is the measurement of how climate change affects aquatic species, which aligns directly with PB1's core definition of human-driven alteration of the climate system and its impacts. Although 'climate change' is mentioned in a motivational context, it is also explicitly measured as an impact on aquatic species, thus activating PB1. The weak signals agreed with this interpretation.",6.689,,8.777,PB1,3,,,,,,,PB1
06cdb4126b53,llm_judged,qwen2.5:3b,,,life; earth; deep; ocean; subseafloor; drilling; scientific; oceanography,mentioned,earth_sciences,8,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [""life"", ""earth"", ""deep"", ""ocean"", ""subseafloor"", ""drilling"", ""scientific"", ""oceanography""],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.424,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the discovery and study of deep subseafloor microbial life through scientific ocean drilling. While it mentions Earth dynamics and planetary habitability, there is no quantification or modeling of any biophysical variable related to Planetary Boundaries. The focus is on expanding knowledge about life in extreme environments rather than measuring or modeling a specific boundary condition. Weak signals did not provide relevant keywords that would suggest otherwise.",5.787,,7.213,None,0,,,,,,,None
a60e993db94a,llm_judged,qwen2.5:3b,,"CO2 partial pressures; pH scenarios; *180–425 latm; *550–800, *1,300, *2,000 latm; *550–800, *1,300, *2,000 latm",fertilization success; polyspermy; embryo formation; intracellular pH changes,measured,earth_sciences,9,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""CO2 partial pressures"", ""pH scenarios"", ""*180–425 latm"", ""*550–800, *1,300, *2,000 latm"", ""*550–800, *1,300, *2,000 latm""],
  ""biological_observations"": [""fertilization success"", ""polyspermy"", ""embryo formation"", ""intracellular pH changes""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",2.54,,,,0,qwen2.5:14b,PB2,High,None,"PB1, PB7","The study measures the effects of varying pH levels on fertilization success and intracellular pH changes in sea urchins. The operational object is clearly the impact of ocean acidification scenarios on marine reproduction, which directly aligns with PB2's core definition of anthropogenic CO2 uptake affecting marine carbonate chemistry and calcifying organisms. Weak signals agreed with this focus.",4.976,,7.518,None,0,,,,,,,PB2
bdf5eac988ad,llm_judged,qwen2.5:3b,polylactide,,,mentioned,engineering,1,"{
  ""chemical_species"": [""polylactide""],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""engineering""
}",0.949,,,PB8(4),4,qwen2.5:14b,PB8,High,None,"PB1, PB4, PB5, PB6, PB7","The abstract focuses on reviewing polylactide (PLA) as a bioplastic and discussing waste management strategies for PLA within the context of industrial feasibility. The primary variable being analyzed is plastic waste, specifically PLA, which aligns with PB8 due to its focus on synthetic chemicals and materials released into the environment. Weak signals suggested PB8 based on keywords like 'plastics' and 'plastic waste', which corroborates this analysis.",5.914,,6.865,PB8,4,,,,,,,PB8
aac5539aa27b,llm_judged,qwen2.5:3b,N2O,pH; NO3- reduction rate; N2 production rate; N2O production rate; N2O:N2 production ratio,denitriﬁcation process; N2O emissions; soil pH variability,measured,earth_sciences,9,"{
  ""chemical_species"": [""N2O""],
  ""physical_metrics"": [""pH"", ""NO3- reduction rate"", ""N2 production rate"", ""N2O production rate"", ""N2O:N2 production ratio""],
  ""biological_observations"": [""denitriﬁcation process"", ""N2O emissions"", ""soil pH variability""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.935,,,,0,qwen2.5:14b,PB4,High,None,"PB1, PB5, PB7","The research quantifies the effects of soil pH on N2O production and reduction rates through controlled incubation experiments and field measurements. The primary focus is on biogeochemical flows, specifically nitrogen cycling processes that lead to harmful nitrous oxide emissions. This aligns with PB4 due to explicit measurement of N2O production rates and their relationship with soil pH. Weak signals agreed with this assessment by highlighting physical metrics related to N2O and NO3- reduction.",5.965,,7.903,None,0,,,,,,,PB4
ed3a2e5f0c07,llm_judged,qwen2.5:3b,nutrient; sponge; microbial; coral; temperature,,sponge-microbe associations; health and microbial community dynamics; eukaryotic community; archaeal associations,measured,biology,9,"{
  ""chemical_species"": [""nutrient"", ""sponge"", ""microbial"", ""coral"", ""temperature""],
  ""physical_metrics"": [],
  ""biological_observations"": [""sponge-microbe associations"", ""health and microbial community dynamics"", ""eukaryotic community"", ""archaeal associations""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",1.647,,,PB2(3); PB4(3),3,qwen2.5:14b,PB4,High,PB1,"PB2, PB5, PB6, PB7, PB8, PB9","The research measures the impact of elevated nutrients and seawater temperature on marine sponges' health and microbial community dynamics. The primary focus is on nutrient loading (eutrophication) and temperature, which directly relate to PB4 and PB1 respectively. However, since the study primarily quantifies nutrient effects with temperature as a secondary variable, PB4 is chosen as the primary boundary. Weak signals suggested PB2 and PB4, aligning partially but not fully with the analysis.",7.079,,8.73,PB2,3,,,,,,,PB4
080e222eec5e,llm_judged,qwen2.5:3b,CFCs; N2O; SF6; CH4; CO; H2,O3; H2O,,measured,engineering,8,"{
  ""chemical_species"": [""CFCs"", ""N2O"", ""SF6"", ""CH4"", ""CO"", ""H2""],
  ""physical_metrics"": [""O3"", ""H2O""],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""engineering""
}",1.53,,,PB1(6); PB3(6),6,qwen2.5:14b,PB3,High,PB1,"PB4, PB5, PB6, PB7, PB8, PB9","The abstract describes the design and deployment of UCATS, a device for measuring atmospheric trace gases including CFCs, N2O, SF6, CH4, CO, H2, O3, and H2O. The primary focus is on quantifying these chemical species to study stratospheric transport and tropospheric chemistry. While the abstract mentions climate-related terms like greenhouse gases, they are not central to the measurement or modeling process. The weak signals correctly highlighted CFCs and ozone as key terms but did not fully capture the broader scope of measured trace gases.",7.699,,9.232,PB1,6,,,,,,,PB3
074d00932720,llm_judged,qwen2.5:3b,HCl; ClO,temperature; air mass; trajectory; chlorine activation; PSCs composition classes; NAT; STS; ice clouds; frost point,,none,chemistry,11,"{
  ""chemical_species"": [""HCl"", ""ClO""],
  ""physical_metrics"": [""temperature"", ""air mass"", ""trajectory"", ""chlorine activation"", ""PSCs composition classes"", ""NAT"", ""STS"", ""ice clouds"", ""frost point""],
  ""biological_observations"": [],
  ""methodology"": ""measured|modelled"",
  ""disciplinary_frame"": ""chemistry""
}",1.704,,,,0,qwen2.5:14b,PB3,High,None,"PB1, PB4, PB5, PB6, PB7, PB8, PB9","The research focuses on the measurement and modeling of polar stratospheric clouds (PSCs) composition, temperature history, and chlorine activation levels in the Arctic winter 2009/2010. The study quantifies these variables to understand their interdependencies and thresholds for rapid chlorine activation, which directly relates to stratospheric ozone depletion processes. Weak signals agreed with this focus on chemical species and physical metrics relevant to PB3.",6.344,,8.05,None,0,,,,,,,PB3
5b69b4b177c8,llm_judged,qwen2.5:3b,,ozone; latitude; pressure,,modelled,earth_sciences,3,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""ozone"", ""latitude"", ""pressure""],
  ""biological_observations"": [],
  ""methodology"": ""modelled"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.166,,,,0,qwen2.5:14b,PB3,High,None,"PB1, PB4, PB5, PB6, PB7, PB8, PB9","The abstract focuses on the high-resolution measurement and modeling of ozone concentrations across various altitudes and latitudes using satellite data and ozonesonde networks. The primary variable being quantified is stratospheric ozone, which directly relates to PB3 (Stratospheric Ozone Depletion). Although the weak signals did not explicitly mention PB3 vocabulary, the detailed methodology for measuring ozone aligns with the core definition of PB3.",6.163,,7.332,None,0,,,,,,,PB3
c8b475531d7e,llm_judged,qwen2.5:3b,,tropopause temperature; total ozone,,measured,earth_sciences,2,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""tropopause temperature"", ""total ozone""],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.094,,,,0,qwen2.5:14b,PB3,High,None,"PB1, PB4, PB5, PB6, PB7, PB8, PB9","The abstract measures the quasi-stationary asymmetry of total ozone over Antarctica using TOMS data from 1979 to 2005, focusing on zonal anomalies and their longitudinal positions. The study quantifies tropopause temperature distribution as well, linking these measurements to stratospheric thermal regimes and UV irradiance redistribution. This analysis directly pertains to the stratospheric ozone layer's dynamics, activating PB3 (Stratospheric Ozone Depletion). Weak signals agreed with this focus on physical metrics including 'total ozone' and 'tropopause temperature'.",7.373,,8.471,None,0,,,,,,,PB3
7d15d84ce20e,llm_judged,qwen2.5:3b,,photosynthetically active radiation (PAR); photosynthetically active radiation (PAR+UV-A radiation (UV-A); photosynthetically active radiation (PAR+ UV-A+UV-B radiation (UV-B),photoinhibition of photosynthesis; kinetics of recovery in zoospores; ultraviolet radiation (UVR) effectively delays photosynthetic recovery,measured,biology,6,"{
  ""chemical_species"": [],
  ""physical_metrics"": [
    ""photosynthetically active radiation (PAR)"",
    ""photosynthetically active radiation (PAR+UV-A radiation (UV-A)"",
    ""photosynthetically active radiation (PAR+ UV-A+UV-B radiation (UV-B)""
  ],
  ""biological_observations"": [
    ""photoinhibition of photosynthesis"",
    ""kinetics of recovery in zoospores"",
    ""ultraviolet radiation (UVR) effectively delays photosynthetic recovery""
  ],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",2.463,,,PB3(6),6,qwen2.5:14b,PB3,High,None,"PB1, PB4, PB5, PB6, PB7, PB8, PB9","The abstract measures the kinetics of photosynthetic recovery in zoospores under different radiation spectra, including UV-B radiation. The primary focus is on how these organisms respond to increased ultraviolet radiation due to stratospheric ozone depletion. This aligns with PB3 as it directly addresses the impact of ozone layer thinning on marine life. Weak signals suggested a potential relevance to PB3 based on keywords like 'ozone depletion', which supports this conclusion.",6.544,,9.01,PB3,6,,,,,,,PB3
fc1441e078b0,llm_judged,qwen2.5:3b,CO; CH4,,,measured,earth_sciences,2,"{
  ""chemical_species"": [""CO"", ""CH4""],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.038,,,PB1(6),6,qwen2.5:14b,PB1,High,None,"PB2, PB4, PB5, PB6, PB7, PB8, PB9","The research measures the atmospheric column-averaged dry air mole fractions of CO and CH4 using satellite data from TROPOMI. The primary focus is on quantifying these gases to assess their impact on climate change and air quality, aligning with PB1's core definition of human-driven alteration through greenhouse gas emissions. Weak signals agreed with this assessment by highlighting 'climate change' and relevant chemical species.",6.281,,7.324,PB1,6,,,,,,,PB1
50137c06d495,llm_judged,qwen2.5:3b,BrO; CaCO3; HNO3; H2SO4; ikaite; calcite,alkalinity; Cl/Br ratio,,modelled,chemistry,8,"{
  ""chemical_species"": [""BrO"", ""CaCO3"", ""HNO3"", ""H2SO4"", ""ikaite"", ""calcite""],
  ""physical_metrics"": [""temperature"", ""alkalinity"", ""Cl/Br ratio""],
  ""biological_observations"": [],
  ""methodology"": ""modelled"",
  ""disciplinary_frame"": ""chemistry""
}",1.56,,,PB3(3),3,qwen2.5:14b,PB3,High,None,"PB1, PB4, PB5, PB6, PB7, PB8, PB9","The abstract focuses on simulating the chemical processes involved in polar marine boundary layer ozone depletion events using the FREZCHEM model. The primary variable of interest is the interaction between calcium carbonate precipitation and atmospheric acidification, which directly relates to stratospheric ozone depletion. Although weak signals hinted at PB3 due to keywords like 'ozone depletion', the detailed modeling of chemical processes confirms this as the core focus.",6.138,,7.701,PB3,3,,,,,,,PB3
3159c4d063f0,llm_judged,qwen2.5:3b,,oxygen; wind,productivity; OMZ,modelled,earth_sciences,4,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""oxygen"", ""wind""],
  ""biological_observations"": [""productivity"", ""OMZ"", ""denitrification""],
  ""methodology"": ""modelled"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.23,,,PB1(6),6,qwen2.5:14b,PB4,High,PB9,PB1,"The research models the impact of changes in Indian monsoon wind intensity on oxygen minimum zones (OMZs) and productivity in the Arabian Sea. The primary variable being quantified is the response of OMZs to climate-driven wind perturbations, which directly relates to biogeochemical cycles and oceanic ecosystem processes. This aligns with PB4 due to its focus on nutrient flows and eutrophication-like effects from altered biological oxygen consumption and denitrification. The weak signals suggested a connection to PB1 but did not capture the specific biogeochemical analysis.",7.027,,8.262,PB1,6,,,,,,,PB4
da697160487b,llm_judged,qwen2.5:3b,surface tracers; stratosphere,resolution; model resolution; meridional transport; vertical mixing; tracer lifetime; ERA40 simulation; interannual variability,,measured,earth_sciences,9,"{
  ""chemical_species"": [""surface tracers"", ""stratosphere""],
  ""physical_metrics"": [""resolution"", ""model resolution"", ""meridional transport"", ""vertical mixing"", ""tracer lifetime"", ""ERA40 simulation"", ""interannual variability""],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.754,,,PB9(3),3,qwen2.5:14b,PB9,High,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7","The research measures the transport of idealized tracers in different model resolutions and meteorological conditions, focusing on meridional transport and vertical mixing. The study explicitly models tracer lifetimes and their impact on atmospheric distribution, aligning with PB9's focus on aerosol loading and particulate mechanisms. Weak signals agreed with this interpretation.",5.568,,7.326,PB9,3,,,,,,,PB9
f89be8cffe97,llm_judged,qwen2.5:3b,,latitude; vortex,,mentioned,earth_sciences,2,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""latitude"", ""vortex""],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""earth_sciences""
}",0.967,,,,0,qwen2.5:14b,PB3,High,None,"PB1, PB2, PB4, PB5, PB6, PB7, PB8, PB9","The research focuses on quantifying measures of ozone loss in the polar vortices, specifically comparing March and October mean column ozone with daily average total ozone. The study evaluates these metrics against chemical ozone loss derived from observations, directly engaging with stratospheric ozone depletion processes. This operational object aligns clearly with PB3's core definition and activation logic, as it involves explicit measurement of ozone-related variables in the context of polar vortices. Weak signals did not provide relevant keywords but correctly indicated no direct methodological engagement.",7.015,,7.985,None,0,,,,,,,PB3
cab713fe6b41,llm_judged,qwen2.5:3b,,,,mentioned,engineering,0,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""engineering""
}",0.789,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract focuses on the healthiness and well-being of users in their living spaces, comparing building environmental certifications like LEED, BREEAM, and WELL. The primary focus is on human-centered design and user perception rather than any biophysical analysis or modeling related to Planetary Boundaries. Weak signals did not identify any relevant terms for PBs, which aligns with the abstract's content.",5.79,,6.581,None,0,,,,,,,None
9ba110d31936,llm_judged,qwen2.5:3b,volcanic ash,cloud; aerosol layer; wind; attenuated backscatter profile; AOD; optical depth; aerosol size distribution; aerosol extinction profile,,none,earth_sciences,9,"{
  ""chemical_species"": [""volcanic ash""],
  ""physical_metrics"": [
    ""cloud"",
    ""aerosol layer"",
    ""radiation"",
    ""temperature"",
    ""pressure"",
    ""wind"",
    ""atmospheric pressure"",
    ""atmospheric temperature"",
    ""atmospheric humidity"",
    ""atmospheric density"",
    ""attenuated backscatter profile"",
    ""AOD"",
    ""optical depth"",
    ""aerosol size distribution"",
    ""aerosol extinction profile""
  ],
  ""biological_observations"": [],
  ""methodology"": ""measured|modelled"",
  ""disciplinary_frame"": ""earth_sciences""
}",2.762,,,PB9(6),6,qwen2.5:14b,PB9,High,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8","The research measures the spatial and temporal distribution of volcanic aerosol layers from the Calbuco eruption, including AOD and backscatter profiles. The primary focus is on atmospheric particles and their transport, which aligns with PB9's core definition of increased atmospheric aerosols affecting regional climate patterns. Weak signals agreed with this assessment.",5.716,,8.482,PB9,6,,,,,,,PB9
c95e30752adf,llm_judged,qwen2.5:3b,N2O,,,measured,earth_sciences,1,"{
  ""chemical_species"": [""N2O""],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",0.95,,,,0,qwen2.5:14b,PB1,High,PB4,"PB6, PB7","The abstract focuses on the measurement and analysis of N2O emissions from agricultural practices, specifically assessing mitigation strategies to reduce these potent greenhouse gas emissions. The primary variable being quantified is N2O, which directly relates to PB1 (Climate Change) due to its role as a greenhouse gas contributing to climate change. While other terms like 'agricultural soils' and 'land-system changes' are mentioned, they do not qualify as the operational object since the focus remains on N2O emissions and their mitigation. The weak signals agreed with this interpretation by highlighting N2O as a chemical species.",7.151,,8.103,None,0,,,,,,,PB1
9153f4dcf3d6,llm_judged,qwen2.5:3b,,precise simulations; initial and boundary conditions; high-resolution simulations; surface data; radar data; extreme precipitation; wind gusts,,measured,earth_sciences,7,"{
  ""chemical_species"": [],
  ""physical_metrics"": [
    ""precise simulations"", 
    ""initial and boundary conditions"", 
    ""high-resolution simulations"", 
    ""surface data"", 
    ""radar data"", 
    ""extreme precipitation"", 
    ""wind gusts""
  ],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.822,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB5, PB9","The paper focuses on high-resolution simulations of a severe weather event using the Weather Research and Forecasting Model (WRF) with various initial and boundary conditions. The study evaluates model accuracy against surface and radar data, without quantifying or modeling climate variables directly. Climate change is mentioned as a backdrop but does not influence the primary analysis. Weak signals did not identify any specific PB terms, aligning with my assessment that no core biophysical boundaries are being measured.",5.304,,7.128,None,0,,,,,,,None
7c0bf746ba69,llm_judged,qwen2.5:3b,lead; arsenic; zinc,,,measured,earth_sciences,3,"{
  ""chemical_species"": [""lead"", ""arsenic"", ""zinc""],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.044,,,,0,qwen2.5:14b,PB4,High,None,"PB2, PB5","The abstract measures the presence and enrichment of heavy metals such as lead, arsenic, and zinc in sediment samples from Deception Bay. The analysis focuses on pollution indices and contamination levels, which directly relate to biogeochemical flows and nutrient loading into marine environments. This aligns with PB4's core definition of disrupting nitrogen and phosphorus cycles due to human activity. Weak signals did not provide relevant keywords but the chemical species mentioned (lead, arsenic, zinc) are consistent with pollution indices and contamination analysis.",6.017,,7.064,None,0,,,,,,,PB4
670ceeb7641d,llm_judged,qwen2.5:3b,,global occurrence; geographic distribution of karst; karst in various topographic settings and coastal areas; karst in different climatic zones; populations living on karst,,measured,earth_sciences,5,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""global occurrence"", ""geographic distribution of karst"", ""karst in various topographic settings and coastal areas"", ""karst in different climatic zones"", ""populations living on karst""],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.63,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The study measures the global occurrence, geographic distribution, and climatic zones of karst regions. It quantifies the extent of carbonate rocks in various topographic settings and coastal areas, as well as populations living on karst. The focus is on describing the physical metrics of karst without any direct biophysical analysis or modeling that would activate a specific Planetary Boundary. Weak signals did not identify any PB vocabulary, which aligns with the abstract's content.",6.267,,7.9,None,0,,,,,,,None
fa215acb1461,llm_judged,qwen2.5:3b,Cd; Cu; Ni; Zn; Fe; Pb; Cr; Mn,salinity; temperature; turbidity; pH; dissolved oxygen,,measured,earth_sciences,13,"{
  ""chemical_species"": [""Cd"", ""Cu"", ""Ni"", ""Zn"", ""Fe"", ""Pb"", ""Cr"", ""Mn""],
  ""physical_metrics"": [
    ""salinity"",
    ""temperature"",
    ""turbidity"",
    ""pH"",
    ""dissolved oxygen""
  ],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.861,,,PB9(3),3,qwen2.5:14b,PB4,High,None,"PB1, PB5, PB6, PB7, PB8, PB9","The study measures the distribution and geochemical behavior of heavy metals in Mar Chiquita Coastal Lagoon, focusing on dissolved and particulate phases. The primary focus is on biogeochemical flows (nutrient loading) rather than climate or land-system change, as it explicitly quantifies metal concentrations over two years. Weak signals suggested PB9 due to particulate matter but this was not the main variable of interest.",5.924,,7.788,PB9,3,,,,,,,PB4
4b96859cedec,llm_judged,qwen2.5:3b,,,,mentioned,social_sciences,0,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""social_sciences""
}",0.827,,,PB1(3),3,qwen2.5:14b,None,N/A,None,PB1,"The abstract discusses the expansion of global economic and social justice movements as a rejection of industrial civilization, citing climate change effects. However, it does not measure or model any biophysical variables related to Planetary Boundaries; instead, it uses climate change only as motivational context for broader socio-political arguments. The weak signals correctly indicated no direct engagement with PB1 through keyword scoring and methodology classification.",4.491,,5.319,PB1,3,KEEP_NONE,High,"The abstract discusses climate change in a social and economic context but does not measure, model, or impose scenarios related to it. The focus is on the societal response to industrial civilization's impacts rather than an active study of climate change itself.",,PB1,2.706,None
437469852fd9,llm_judged,qwen2.5:3b,,climate,,mentioned,earth_sciences,1,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""climate"", ""energy"", ""flow"", ""mass"", ""radiation""],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.085,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the use of climate and Earth system models to reconstruct past climatic events, emphasizing the blurring distinction between data and model in paleoclimatology. The focus is on modeling and understanding historical climate conditions rather than quantifying current biophysical variables or impacts. Weak signals did not identify any specific PB vocabulary, aligning with my assessment that this paper does not measure or model a primary Planetary Boundary variable.",5.899,,6.986,None,0,,,,,,,None
e07e1529f98b,llm_judged,qwen2.5:3b,,,deep roots,measured,earth_sciences,1,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [""deep roots""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",0.943,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract focuses on the study of deep roots in plants and their ecological significance. The term 'deep roots' is mentioned as a biological observation, but there are no specific measurements or models related to any Planetary Boundary variables. The weak signals did not provide relevant keywords for PBs, confirming that this review article does not quantify or model any biophysical processes directly linked to the PB framework.",5.613,,6.557,None,0,,,,,,,None
